priority_rank,priority_score,action_bucket,evidence_gap,status,symbol,market,research_topic,signal_to_validate,needed_input,verification_method,risk_if_skipped,blockers,task_id,source_report
1,100,RunFirst,CrossSourceValidation,待验证,AAPL,US,补齐报告证据：RunMetadata_07062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,"symbol, market, date range, at least two real data sources",Compare close prices across providers and save tolerance result.,Single-source errors may be mistaken for real strategy evidence.,,reportGapTask_e075e54ff090b224301e,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx
2,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata7_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_ecd9e79c97b8f0af187b,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
3,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata6_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_0fa3947a87fc5dd01b6e,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
4,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata5_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_2dbfd5496aa0400a46b6,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
5,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata4_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_6027ca6d96941d644c12,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
6,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata3_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_267d1f807207d197bf6e,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx
7,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata18_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_0619f2dbc5a32d72f7a4,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
8,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata17_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_3cd8ab854f673764fdc7,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
9,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata16_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_d8b90851743f681ea520,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
10,89,RunFirst,ReportEvidence,待验证,,,补齐报告证据：RunMetadata15_03062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,"source report path, RunMetadata path, report evidence schema",Regenerate report with QuantLabReportEvidenceV1 and linked RunMetadata.,"The report cannot be traced back to data, entity, workflow, and risk gates.",,reportGapTask_c748cc1b705bdecc8f8f,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
