risk_id,unknown_category,priority,unknown_description,owner_role,resolution_stages,stop_condition,related_requirement_ids,related_capability_ids,evidence_refs,status
RISK-P3-FLD-001,FIELD,P0,实际 field→metric→report 血缘不完整,DATA_ARCHITECT,S02;S04;S09,任一 P0 字段没有来源、版本、转换、指标及报告消费映射时，不得锁定追溯总账或进入依赖实现,R011;R022;R036,CAP-030,KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/migration_decision_matrix_public_safe.csv;KMFA/metadata/lineage/field_lineage.jsonl;KMFA/metadata/lineage/metric_lineage.jsonl;KMFA/metadata/lineage/report_lineage.jsonl,OPEN_WITH_PLAN
RISK-P3-FLD-002,FIELD,P0,真实字段的金额、单位、日期、期间、原值/处理值及公式参数覆盖未锁定,FIELD_STANDARD_OWNER,S04;S05;S13,存在未知单位、期间、隐式换算、float 金额或未外置公式参数时，不得建立黄金数据或计算事实层,R012;R014;R026;R029,CAP-001;CAP-002;CAP-010,KMFA/tools/amount_tools.py;KMFA/tools/zero_delta_validator.py;KMFA/docs/governance/formula_registry.yaml;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-FLD-003,FIELD,P0,项目、主体、客户、银行账户真实组合键及隔离未验证,MASTER_DATA_OWNER,S08,任一主键碰撞、缺失或跨主体误合并未由负向测试排除时，不得形成唯一账本,R015;R016,CAP-019;CAP-033,KMFA/metadata/schema_maps/project_composite_key_manifest.json;KMFA/metadata/schema_maps/business_entity_model_manifest.json;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-FLD-004,FIELD,P1,项目成本、合同变更、质保金、账龄、资金、税务字段覆盖不完整,FINANCE_DOMAIN_OWNER,S12;S18;S19,领域字段字典、来源和计算输入未闭环时，不得验收对应领域页面或报告,R029;R030;R031;R032;R033,CAP-020,KMFA/stage_artifacts/S09_P1_project_cost_fact_layer;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-DAT-001,DATA_SOURCE,P0,raw 运行时保护未实现，且旧 owner raw/plaintext 上传例外与 v2.0 冲突,DATA_GOVERNANCE_SECURITY_OWNER,S03,出现 raw 写删改移覆盖，或公开仓库授权例外仍存在时，立即停止,R005;R006;R007,CAP-003;CAP-004;CAP-005;CAP-007;CAP-029,KMFA/docs/governance/RAW_DATA_BOUNDARY.md;KMFA/docs/governance/IMMUTABILITY_POLICY.md;KMFA/metadata/security/public_repo_sensitive_data_policy.jsonl,OPEN_WITH_PLAN
RISK-P3-DAT-002,DATA_SOURCE,P0,完整数据源清单、优先级、格式、刷新周期和接入责任未闭环,DATA_INGESTION_OWNER,S04;S10,未登记 owner、格式、优先级、版本及失败策略的数据源不得进入导入管线,R008;R017;R018,CAP-008;CAP-013,KMFA/stage_artifacts/S07_P1_finance_file_adapter;KMFA/stage_artifacts/S07_P2_wps_file_adapter;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-DAT-003,DATA_SOURCE,P0,权威黄金数据和真实 zero-delta 未证明,FINANCE_DATA_OWNER,S06;S07,权威源未由 owner 锁定，或任意一分差异未解释时，保持 NO_GO,R009;R010;R011;R012;R013,CAP-031,KMFA/stage_artifacts/V014_FINAL_OVERALL_REVIEW;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-DAT-004,DATA_SOURCE,P0,跨源冲突、责任归因、人工确认和关闭状态机未实现,DATA_QUALITY_OWNER,S07;S09,系统自动选边、原因无法归到源/映射/规则/计算/展示层，或关闭无追加审计时停止,R009;R010;R011;R023,CAP-014;CAP-015,KMFA/metadata/quality/source_difference_queue.jsonl;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-DAT-005,DATA_SOURCE,P1,红圈与 OpMe connector 契约、权限、失败恢复均未验证,INTEGRATION_OWNER,S24,文件型闭环和 KMFA 独立稳定未通过前，不得接入 connector、凭据或外部写操作,R052;R054,CAP-037,KMFA/stage_artifacts/S18_P3_integration_preparation;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
RISK-P3-ACC-001,ACCESS,P0,真实身份、核心角色、权限范围及多主体上下文不存在,IDENTITY_ACCESS_OWNER,S15,无真实认证、最小权限及跨角色/跨主体负向 E2E 时，不得开放业务操作,R002;R016;R047,CAP-022;CAP-035,KMFA/stage_artifacts/S17_P1_access_security;KMFA/stage_artifacts/V015_S01_P2_IMPLEMENTATION_SPEC_GAP_INVENTORY/machine/implementation_gap_matrix_public_safe.csv,OPEN_WITH_PLAN
