main_rel_path,domain,main_size_bytes,main_readability_class,main_signature_category,main_sensitive_skip,wal_present,wal_rel_path,wal_size_bytes,wal_signature_category,shm_present,shm_rel_path,shm_size_bytes,shm_signature_category,complete_wal_shm_pair,schema_opened,message_or_contact_rows_selected
app_data/radium/web/profiles/webview_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/multitab/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/game_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/game/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/multitab_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/game_f329198777cc4229b682e34e4c24ced4/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/web/profiles/web_shell/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,plain_sqlite_possible,sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/data/8/applet.db,app_data/radium_db,6086656,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/data/8/applet.db-wal,6328352,sqlite_wal_header,false,,0,not_checked_or_absent,false,false,false
app_data/radium/users/f329198777cc4229b682e34e4c24ced4/applet/data/8/applet.db,app_data/radium_db,2596864,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/applet/data/8/applet.db-wal,3419632,sqlite_wal_header,false,,0,not_checked_or_absent,false,false,false
xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db,protected_key_info_or_login,12288,sensitive_skip,not_read_sensitive_skip,true,true,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db-wal,0,not_read_sensitive_skip,true,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db-shm,32768,not_read_sensitive_skip,true,false,false
xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db,protected_key_info_or_login,12288,sensitive_skip,not_read_sensitive_skip,true,true,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db-wal,0,not_read_sensitive_skip,true,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db-shm,32768,not_read_sensitive_skip,true,false,false
xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db,protected_key_info_or_login,69632,sensitive_skip,not_read_sensitive_skip,true,true,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db-wal,0,not_read_sensitive_skip,true,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db-shm,32768,not_read_sensitive_skip,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/hardlink/hardlink.db,db_storage/hardlink,10964992,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/hardlink/hardlink.db-wal,0,empty_file,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/hardlink/hardlink.db-shm,32768,non_sqlite_header,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/head_image/head_image.db,db_storage/head_image,17666048,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/head_image/head_image.db-wal,1763392,sqlite_wal_header,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/head_image/head_image.db-shm,32768,non_sqlite_header,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/solitaire/solitaire.db,db_storage/solitaire,65536,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/solitaire/solitaire.db-wal,0,empty_file,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/solitaire/solitaire.db-shm,32768,non_sqlite_header,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-last.material,db_storage/contact,16384,wcdb_or_unknown,non_sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,db_storage/contact,5844992,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-wal,0,empty_file,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-shm,32768,non_sqlite_header,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,db_storage/contact,13512704,encrypted_or_sqlcipher_likely,non_sqlite_header,false,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-wal,0,empty_file,true,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-shm,32768,non_sqlite_header,true,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-first.material,db_storage/contact,16384,wcdb_or_unknown,non_sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-incremental.material,db_storage/contact,4096,wcdb_or_unknown,non_sqlite_header,false,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/MMKV/f2641100tinfo.mmkv.crc,db_storage/MMKV,16384,sensitive_skip,not_read_sensitive_skip,true,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/MMKV/f2640600tinfo.mmkv,db_storage/MMKV,16384,sensitive_skip,not_read_sensitive_skip,true,false,,0,not_checked_or_absent,false,,0,not_checked_or_absent,false,false,false
