decision_id,date_folder,run,strategy_id,symbol,market,report_readiness,evidence_score,research_status,risk_gate_status,decision_quality_status,decision_quality_score,data_quality_status,cross_validation_status,missing_evidence_count,critical_missing_evidence,total_return,annualized_return,sharpe,max_drawdown,trade_count,cost_ratio,metadata_path,linked_report_path,next_action
reportDecision_57b3728fa70114888842,2026-06-07,RunMetadata_07062026,ma_crossover,AAPL,US,NeedsMoreEvidence,61,NeedsMoreEvidence,NeedsMoreEvidence,NeedsMoreEvidence,68,Pass,Missing,9,多源交叉校验; 参数稳定性验证; 样本内/样本外验证; walk-forward 验证; 证据质量; 参数稳定性; 样本外验证; walk-forward,2.0576788171034766,0.24088302288723829,2.9482615970209225,-0.08011347566912475,48,0.013355,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,补齐缺失证据：多源交叉校验；参数稳定性验证；样本内/样本外验证；walk-forward 验证；证据质量
reportDecision_27420538b4ab96d9e54a,2026-06-04,RunMetadata7_04062026,ma_crossover,,,NeedsMoreEvidence,10,NeedsMoreEvidence,NeedsMoreEvidence,NeedsMoreEvidence,68,Missing,Missing,12,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 参数稳定性验证; 样本内/样本外验证; walk-forward 验证; 多源交叉校验; 证据质量,-0.06894223159303803,-0.013699439561915994,-0.02639545779559335,-0.2972323155528971,71,0.036116,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；参数稳定性验证；样本内/样本外验证
reportDecision_8aa9ee799c7e783e3875,2026-06-04,RunMetadata6_04062026,alipay,,,NeedsMoreEvidence,10,NeedsMoreEvidence,NeedsMoreEvidence,NeedsMoreEvidence,67,Missing,Missing,12,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 参数稳定性验证; 样本内/样本外验证; walk-forward 验证; 多源交叉校验; 证据质量,0.5097734931915248,0.06386072946292454,0.5252887679079566,-0.36419032642264515,542,0.009184,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；参数稳定性验证；样本内/样本外验证
reportDecision_144da81069d25ce91911,2026-06-04,RunMetadata5_04062026,alipay,,,NeedsMoreEvidence,10,NeedsMoreEvidence,NeedsMoreEvidence,NeedsMoreEvidence,67,Missing,Missing,12,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 参数稳定性验证; 样本内/样本外验证; walk-forward 验证; 多源交叉校验; 证据质量,-0.05890827937856413,-0.011655751890836896,-0.035413917957562935,-0.3641654482881971,507,0.011874,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；参数稳定性验证；样本内/样本外验证
reportDecision_825d9bde46d0fde8bb59,2026-06-04,RunMetadata4_04062026,ma_crossover,,,NeedsMoreEvidence,10,NeedsMoreEvidence,NeedsMoreEvidence,NeedsMoreEvidence,68,Missing,Missing,12,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 参数稳定性验证; 样本内/样本外验证; walk-forward 验证; 多源交叉校验; 证据质量,-0.06894223159303803,-0.013699439561915994,-0.02639545779559335,-0.2972323155528971,71,0.036116,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；参数稳定性验证；样本内/样本外验证
reportDecision_8a8f3675e547991f7747,2026-06-04,RunMetadata3_04062026,alipay,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.21284621909387513,0.03796611780416592,0.3111545733325225,-0.32777650079321485,299,0.005499,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata3_04062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_bc91083cee215e73a9c3,2026-06-03,RunMetadata18_03062026,alipay,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.15248817409259607,0.10120021304368332,0.8398961544045153,-0.1248865720307345,151,0.003591,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata18_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_9f5f9174758feffbad8e,2026-06-03,RunMetadata17_03062026,alipay,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.14749882610931886,0.09795978606590694,1.534405778214001,-0.03560539652051664,190,0.003962,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata17_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_fd0dba0b76c1a01e8b5b,2026-06-03,RunMetadata16_03062026,alipay,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.2829274011884746,0.10427110925721594,1.5003123889183902,-0.04500141557728232,334,0.006457,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata16_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_9ee2b25738a74f2ed9ad,2026-06-03,RunMetadata15_03062026,alipay,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,-0.05890827937856413,-0.011655751890836896,-0.035413917957562935,-0.3641654482881971,507,0.011874,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata15_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_05effbcbaabe095ac8aa,2026-06-03,RunMetadata14_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.31670048652609517,0.11575356405504977,0.9525158506534745,-0.1534727805148972,24,0.009113,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata14_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_b75e231c84e1acdf7350,2026-06-03,RunMetadata4_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,2.344434629811692,0.262549818016633,1.5113188848090193,-0.1359971259486319,53,0.012479,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata4_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_a31597e9ec637d3ea9cc,2026-06-03,RunMetadata3_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,2.344434629811692,0.262549818016633,1.5113188848090193,-0.1359971259486319,53,0.012479,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata3_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_a1008d031c62b74adcc5,2026-06-03,RunMetadata13_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.14250013361116043,0.043807481562250894,0.3743296837481167,-0.21671698642960868,32,0.017786,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata13_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_0481bdcb7f8a3b3979f4,2026-06-03,RunMetadata12_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.14250013361116043,0.043807481562250894,0.3743296837481167,-0.21671698642960868,32,0.017786,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata12_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
reportDecision_ec1a5235f4dff7bc1b42,2026-06-03,RunMetadata11_03062026,ma_crossover,,,NeedsMoreEvidence,0,NeedsMoreEvidence,Missing,Missing,0,Missing,Missing,5,QuantLabReportEvidenceV1; 数据质量状态; 多源交叉校验状态; 风险闸门状态; 决策质量状态,0.2646220905311898,0.04637890354189067,0.39321199415258196,-0.21278651104093504,50,0.024684,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/RunMetadata11_03062026.json,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx,补齐缺失证据：QuantLabReportEvidenceV1；数据质量状态；多源交叉校验状态；风险闸门状态；决策质量状态
